	referenced_tweets	id	conversation_id	author_id	lang	text	created_at	reply_settings	edit_history_tweet_ids	public_metrics.retweet_count	public_metrics.reply_count	public_metrics.like_count	public_metrics.quote_count	public_metrics.impression_count	in_reply_to_user_id	geo.place_id	geo.coordinates.type	geo.coordinates.coordinates
1520	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633747847589011457	1633747847589011457	1344363496461385728	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:33:35.000Z	everyone	['1633747847589011457']	201	0	0	0	0				
1521	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633747764138893312	1633747764138893312	1534221085759389696	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:33:15.000Z	everyone	['1633747764138893312']	201	0	0	0	0				
1522	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633747721596153856	1633747721596153856	1608403498072428546	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:33:05.000Z	everyone	['1633747721596153856']	201	0	0	0	0				
1523	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633747684837429249	1633747684837429249	1632998146014863360	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:32:56.000Z	everyone	['1633747684837429249']	201	0	0	0	0				
1524	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633747669897330690	1633747669897330690	1632299840993656832	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:32:52.000Z	everyone	['1633747669897330690']	201	0	0	0	0				
1525	[{'type': 'retweeted', 'id': '1633625994052399106'}]	1633747611462291456	1633747611462291456	128661782	en	RT @DemocracyDocket: “D.C. statehood is the only way to ensure American citizens living in Washington, D.C. have full representation in Con…	2023-03-09T08:32:38.000Z	everyone	['1633747611462291456']	95	0	0	0	0				
1526	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633747534228385792	1633747534228385792	1479790313740726272	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:32:20.000Z	everyone	['1633747534228385792']	201	0	0	0	0				
1527	[{'type': 'retweeted', 'id': '1633747390896422913'}]	1633747452334600192	1633747452334600192	243993376	en	"RT @karikaalan1CE: @dolphinsnodoll Timeperiod:
It was 1944. Tamilnadu was yet to get linguistic separate statehood, neither india had freed…"	2023-03-09T08:32:00.000Z	everyone	['1633747452334600192']	1	0	0	0	0				
1528	[{'type': 'replied_to', 'id': '1633745235825098754'}]	1633747390896422913	1633742190940917761	243993376	en	"@dolphinsnodoll Timeperiod:
It was 1944. Tamilnadu was yet to get linguistic separate statehood, neither india had freedom.
Context:
Periyar had to identify Anti vedic tamils in 1 name. Normal tamils included every ""tamil speaker""
Hence Dravidian (used by Ayithidasar to indicate anti vedic ppl)"	2023-03-09T08:31:46.000Z	everyone	['1633747390896422913']	1	4	2	0	199	4419800135			
1529	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633747366363934720	1633747366363934720	736064636919762945	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:31:40.000Z	everyone	['1633747366363934720']	201	0	0	0	0				
1530	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633747329910992896	1633747329910992896	1632772051189608450	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:31:31.000Z	everyone	['1633747329910992896']	201	0	0	0	0				
1531	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633747278488825859	1633747278488825859	1571874899186290691	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:31:19.000Z	everyone	['1633747278488825859']	201	0	0	0	0				
1532	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633747227289194498	1633747227289194498	1601230861751717888	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:31:07.000Z	everyone	['1633747227289194498']	201	0	0	0	0				
1533	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633747212583989248	1633747212583989248	1633702217684250624	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:31:03.000Z	everyone	['1633747212583989248']	201	0	0	0	0				
1534	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633747151384887299	1633747151384887299	1631300919647260672	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:30:49.000Z	everyone	['1633747151384887299']	201	0	0	0	0				
1535	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633747144619491330	1633747144619491330	1468250088321568780	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:30:47.000Z	everyone	['1633747144619491330']	201	0	0	0	0				
1536	[{'type': 'retweeted', 'id': '1633610554106413057'}]	1633746936950935554	1633746936950935554	1592574134172753920	en	RT @Daark_web: 🇷🇺#Lavrov: #Iraq, #Libya, #Syria &amp; #Afghanistan suffered from armed ventures &amp; neo-colonial aspirations, which undermined th…	2023-03-09T08:29:57.000Z	everyone	['1633746936950935554']	11	0	0	0	0				
1537	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633746897939886080	1633746897939886080	1609487673542184961	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:29:48.000Z	everyone	['1633746897939886080']	201	0	0	0	0				
1538	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633746852725288967	1633746852725288967	1633425653814165505	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:29:37.000Z	everyone	['1633746852725288967']	201	0	0	0	0				
1539	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633746825520848896	1633746825520848896	919301294	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:29:31.000Z	everyone	['1633746825520848896']	201	0	0	0	0				
1540	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633746781367570432	1633746781367570432	1272568118414434306	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:29:20.000Z	everyone	['1633746781367570432']	201	0	0	0	0				
1541	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633746725239427072	1633746725239427072	1633733300840960001	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:29:07.000Z	everyone	['1633746725239427072']	201	0	0	0	0				
1542	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633746642687123457	1633746642687123457	943508523840716800	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:28:47.000Z	everyone	['1633746642687123457']	201	0	0	0	0				
1543	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633746635397165057	1633746635397165057	1632378536953806849	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:28:46.000Z	everyone	['1633746635397165057']	201	0	0	0	0				
1544	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633746598646915072	1633746598646915072	1345110021919543298	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:28:37.000Z	everyone	['1633746598646915072']	201	0	0	0	0				
1545	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633746539423350785	1633746539423350785	1621859742116356096	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:28:23.000Z	everyone	['1633746539423350785']	201	0	0	0	0				
1546	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633746515301896192	1633746515301896192	2392495398	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:28:17.000Z	everyone	['1633746515301896192']	201	0	0	0	0				
1547	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633746508150370304	1633746508150370304	875774427094540288	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:28:15.000Z	everyone	['1633746508150370304']	201	0	0	0	0				
1548	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633746491725737985	1633746491725737985	2309380470	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:28:11.000Z	everyone	['1633746491725737985']	201	0	0	0	0				
1549	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633746478224265217	1633746478224265217	1542095755711619072	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:28:08.000Z	everyone	['1633746478224265217']	201	0	0	0	0				
1550	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633746453146521600	1633746453146521600	1633426298444951553	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:28:02.000Z	everyone	['1633746453146521600']	201	0	0	0	0				
1551	[{'type': 'retweeted', 'id': '1633742105871826944'}]	1633746379343384576	1633746379343384576	803986123269738496	en	"RT @AleksandraSpal3: Less than a week to go! 

Section on Heterarchy in World Politics (S11) explores challenges and limits to sovereignty,…"	2023-03-09T08:27:45.000Z	everyone	['1633746379343384576']	4	0	0	0	0				
1552	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633746334636478465	1633746334636478465	1050281851129094144	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:27:34.000Z	everyone	['1633746334636478465']	201	0	0	0	0				
1553	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633746310418563073	1633746310418563073	1610116457169551362	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:27:28.000Z	everyone	['1633746310418563073']	201	0	0	0	0				
1554	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633746274095894529	1633746274095894529	1632406560407187469	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:27:19.000Z	everyone	['1633746274095894529']	201	0	0	0	0				
1555	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633746223671939077	1633746223671939077	2347836344	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:27:07.000Z	everyone	['1633746223671939077']	201	0	0	0	0				
1556	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633746222170378241	1633746222170378241	1622616948742971392	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:27:07.000Z	everyone	['1633746222170378241']	201	0	0	0	0				
1557	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633746162506428417	1633746162506428417	1632674208621932544	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:26:53.000Z	everyone	['1633746162506428417']	201	0	0	0	0				
1558	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633746124459888640	1633746124459888640	1484016723426967556	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:26:44.000Z	everyone	['1633746124459888640']	201	0	0	0	0				
1559	[{'type': 'retweeted', 'id': '1633743543234883584'}]	1633746068163682308	1633746068163682308	4812539719	en	RT @blurbwriter: @SaraReyi And nonsense like this proves you're unfit for ANY form of statehood.	2023-03-09T08:26:30.000Z	everyone	['1633746068163682308']	1	0	0	0	0				
1560	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633746050312990721	1633746050312990721	1609978106944843776	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:26:26.000Z	everyone	['1633746050312990721']	201	0	0	0	0				
1561	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633745998156820484	1633745998156820484	1484667188531576832	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:26:14.000Z	everyone	['1633745998156820484']	201	0	0	0	0				
1562	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633745982180708352	1633745982180708352	1632310832368328706	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:26:10.000Z	everyone	['1633745982180708352']	201	0	0	0	0				
1563	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633745973779345409	1633745973779345409	1511580604487585793	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:26:08.000Z	everyone	['1633745973779345409']	201	0	0	0	0				
1564	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633745968423407616	1633745968423407616	1633391302707646465	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:26:07.000Z	everyone	['1633745968423407616']	201	0	0	0	0				
1565	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633745945446981632	1633745945446981632	1534037887536099328	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:26:01.000Z	everyone	['1633745945446981632']	201	0	0	0	0				
1566	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633745943790260224	1633745943790260224	1417713375711092742	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:26:01.000Z	everyone	['1633745943790260224']	201	0	0	0	0				
1567	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633745926660702209	1633745926660702209	1486293445975363589	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:25:57.000Z	everyone	['1633745926660702209']	201	0	0	0	0				
1568	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633745903571058689	1633745903571058689	1600906499185778688	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:25:51.000Z	everyone	['1633745903571058689']	201	0	0	0	0				
1569	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633745884843503619	1633745884843503619	1633469546131517443	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:25:47.000Z	everyone	['1633745884843503619']	201	0	0	0	0				
1570	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633745866837180423	1633745866837180423	1548550284158283778	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:25:42.000Z	everyone	['1633745866837180423']	201	0	0	0	0				
1571	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633745862383013888	1633745862383013888	1610100695537176576	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:25:41.000Z	everyone	['1633745862383013888']	201	0	0	0	0				
1572	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633745834977415168	1633745834977415168	1633388341662982144	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:25:35.000Z	everyone	['1633745834977415168']	201	0	0	0	0				
1573	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633745828945989633	1633745828945989633	1478306011802791936	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:25:33.000Z	everyone	['1633745828945989633']	201	0	0	0	0				
1574	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633745807802261504	1633745807802261504	1547309603792494592	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:25:28.000Z	everyone	['1633745807802261504']	201	0	0	0	0				
1575	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633745780686323713	1633745780686323713	1462345149166460934	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:25:22.000Z	everyone	['1633745780686323713']	201	0	0	0	0				
1576	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633745776743526401	1633745776743526401	1547579026138894337	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:25:21.000Z	everyone	['1633745776743526401']	201	0	0	0	0				
1577	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633745745886216195	1633745745886216195	1621422045816053760	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:25:14.000Z	everyone	['1633745745886216195']	201	0	0	0	0				
1578	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633745737615048704	1633745737615048704	1609597443993374725	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:25:12.000Z	everyone	['1633745737615048704']	201	0	0	0	0				
1579	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633745734737461249	1633745734737461249	2940810942	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:25:11.000Z	everyone	['1633745734737461249']	201	0	0	0	0				
1580	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633745732376338432	1633745732376338432	1630254878223224839	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:25:10.000Z	everyone	['1633745732376338432']	201	0	0	0	0				
1581	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633745716471529473	1633745716471529473	1633677745191284736	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:25:06.000Z	everyone	['1633745716471529473']	201	0	0	0	0				
1582	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633745713304862721	1633745713304862721	1154758233535307776	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:25:06.000Z	everyone	['1633745713304862721']	201	0	0	0	0				
1583	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633745704169652224	1633745704169652224	1506157152532299781	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:25:04.000Z	everyone	['1633745704169652224']	201	0	0	0	0				
1584	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633745695617482752	1633745695617482752	933823618567438336	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:25:02.000Z	everyone	['1633745695617482752']	201	0	0	0	0				
1585	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633745665196187648	1633745665196187648	1621868245396635648	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:24:54.000Z	everyone	['1633745665196187648']	201	0	0	0	0				
1586	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633745663614918656	1633745663614918656	1632347829900378112	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:24:54.000Z	everyone	['1633745663614918656']	201	0	0	0	0				
1587	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633745650667130880	1633745650667130880	1560487210893225984	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:24:51.000Z	everyone	['1633745650667130880']	201	0	0	0	0				
1588	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633745627166437376	1633745627166437376	1455525302914871298	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:24:45.000Z	everyone	['1633745627166437376']	201	0	0	0	0				
1589	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633745618761056258	1633745618761056258	1632335617794387971	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:24:43.000Z	everyone	['1633745618761056258']	201	0	0	0	0				
1590	[{'type': 'replied_to', 'id': '1633743763012046849'}]	1633745599257366530	1632922043216805888	1594203426279260160	en	@DeptfordWife1 @benjimadness @PrinceVogel It’s not protecting their rights if they aren’t getting representation. That’s the entire argument for D.C. statehood as well.	2023-03-09T08:24:39.000Z	everyone	['1633745599257366530']	0	1	0	0	15	3682689733			
1591	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633745133844987905	1633745133844987905	2295392665	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:22:48.000Z	everyone	['1633745133844987905']	201	0	0	0	0				
1592		1633744864495161344	1633744864495161344	1590306798799814657	en	Australian Government must recognise the self-determination and statehood of Palestinians, and push to ensure an end to the occupation and human rights abuses. #QandA #auspol	2023-03-09T08:21:43.000Z	everyone	['1633744864495161344']	0	0	0	0	15				
1593	[{'type': 'replied_to', 'id': '1633741283603652613'}]	1633744837773082624	1633733678663647233	856117542804496384	en	@1067AM @SonjaEnde Blackmailing Ukraine in 2013 with a trade war, orchstrating a coup in the Donbas against the will of the people there, erecting mafiafiefdoms there, invasion 2022, denying Ukrainian statehood, genocide, fulfilling all hallmarks of fascims as a state. Fed up?	2023-03-09T08:21:37.000Z	everyone	['1633744837773082624']	0	0	0	0	13	145953702			
1594	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633744768906960898	1633744768906960898	1633381656823230465	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:21:21.000Z	everyone	['1633744768906960898']	201	0	0	0	0				
1595	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633744562035490818	1633744562035490818	3318602605	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:20:31.000Z	everyone	['1633744562035490818']	201	0	0	0	0				
1596	[{'type': 'retweeted', 'id': '1633625994052399106'}]	1633744526723407872	1633744526723407872	1548756205	en	RT @DemocracyDocket: “D.C. statehood is the only way to ensure American citizens living in Washington, D.C. have full representation in Con…	2023-03-09T08:20:23.000Z	everyone	['1633744526723407872']	95	0	0	0	0				
1597	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633744460210384896	1633744460210384896	1273933075618004997	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:20:07.000Z	everyone	['1633744460210384896']	201	0	0	0	0				
1598	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633744265166860288	1633744265166860288	1591104198263046146	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:19:20.000Z	everyone	['1633744265166860288']	201	0	0	0	0				
1599	[{'type': 'retweeted', 'id': '1633740984839454722'}]	1633744149739601920	1633744149739601920	2760012765	en	RT @vikar_rasool: Hundreds of people joined ‘Hath Se Hath Jodo Abhiyan’ and carried out a 6KM padayatra from Markundal to Sumbal in Distt B…	2023-03-09T08:18:53.000Z	everyone	['1633744149739601920']	201	0	0	0	0				
